id,ntype,label,n_samples,title,url
OSD-766,Study,OSD-766,144.0,The microbial communities of a tomato crop grown in Veggie under different lighting regimes on the International Space Station,https://osdr.nasa.gov/bio/repo/data/studies/OSD-766
Organism:Solanum lycopersicum,Organism,Solanum lycopersicum,,,
Hardware:Veggie,Hardware,Veggie,,,
Assay:16S rRNA amplicon,Assay,16S rRNA amplicon,,,
Region:V3-V4,Region,V3-V4,,,
Tissue:wick,Tissue,wick,,,
Tissue:water,Tissue,water,,,
Tissue:leaf,Tissue,leaf,,,
Tissue:root,Tissue,root,,,
Tissue:swab,Tissue,swab,,,
Tissue:substrate,Tissue,substrate,,,
Tissue:fruit,Tissue,fruit,,,
Factor:Tissue type,Factor,Tissue type,,,
Factor:Light regime (red-rich vs blue-rich),Factor,Light regime (red-rich vs blue-rich),,,
Factor:Spaceflight,Factor,Spaceflight,,,
OSD-412,Study,OSD-412,47.0,Spatial characterization of microbial communities on multi-species leafy greens grown in Veggie VEG-03D on the ISS,https://osdr.nasa.gov/bio/repo/data/studies/OSD-412
Organism:mixed community,Organism,mixed community,,,
Region:V4,Region,V4,,,
Factor:Plant position,Factor,Plant position,,,
Factor:Sample type,Factor,Sample type,,,
OSD-413,Study,OSD-413,48.0,Spatial characterization of microbial communities on multi-species leafy greens grown in Veggie VEG-03E on the ISS,https://osdr.nasa.gov/bio/repo/data/studies/OSD-413
OSD-414,Study,OSD-414,48.0,Spatial characterization of microbial communities on multi-species leafy greens grown in Veggie VEG-03F on the ISS,https://osdr.nasa.gov/bio/repo/data/studies/OSD-414
OSD-772,Study,OSD-772,96.0,Evaluating microbial community profiles of Chile peppers grown on the International Space Station,https://osdr.nasa.gov/bio/repo/data/studies/OSD-772
Organism:Capsicum annuum,Organism,Capsicum annuum,,,
Hardware:Advanced Plant Habitat,Hardware,Advanced Plant Habitat,,,
Factor:Hardware component,Factor,Hardware component,,,
Factor:Science carrier quadrant,Factor,Science carrier quadrant,,,
OSD-773,Study,OSD-773,78.0,Microbial community characterization of multi-crop growouts in the XROOTS aeroponic-hydroponic system on the International Space Station.,https://osdr.nasa.gov/bio/repo/data/studies/OSD-773
Hardware:Veggie/XROOTS,Hardware,Veggie/XROOTS,,,
Assay:ITS amplicon,Assay,ITS amplicon,,,
Region:ITS1;V4,Region,ITS1;V4,,,
Factor:Harvest timepoint,Factor,Harvest timepoint,,,
Factor:Cultivar,Factor,Cultivar,,,
