osd_accession,glds_accession,title,organism,cultivar,platform_hardware,mission,assay_type,target_region,sequencing_platform,n_samples,factors,tissue_types,doi,osdr_url,confidence,notes
OSD-766,GLDS-669,The microbial communities of a tomato crop grown in Veggie under different lighting regimes on the International Space Station,Solanum lycopersicum,Red Robin,Veggie (VEG-05),ISS SpaceX CRS,16S rRNA amplicon,V3-V4,Illumina MiSeq,144,Spaceflight;Light regime (red-rich vs blue-rich);Tissue type,leaf;root;fruit;wick;substrate;water;swab,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-766,high,Microbiome companion to OSD-767 tomato transcriptome study
OSD-412,GLDS-394,Spatial characterization of microbial communities on multi-species leafy greens grown in Veggie VEG-03D on the ISS,mixed community,mixed leafy greens,Veggie (VEG-03D),ISS,16S rRNA amplicon,V4,Illumina MiSeq,47,Spaceflight;Sample type;Plant position,leaf;root;wick;substrate;swab,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-412,high,VEG-03D leafy greens
OSD-413,GLDS-395,Spatial characterization of microbial communities on multi-species leafy greens grown in Veggie VEG-03E on the ISS,mixed community,mixed leafy greens,Veggie (VEG-03E),ISS,16S rRNA amplicon,V4,Illumina MiSeq,48,Spaceflight;Sample type;Plant position,leaf;root;wick;substrate;swab,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-413,high,VEG-03E leafy greens
OSD-414,GLDS-396,Spatial characterization of microbial communities on multi-species leafy greens grown in Veggie VEG-03F on the ISS,mixed community,mixed leafy greens,Veggie (VEG-03F),ISS,16S rRNA amplicon,V4,Illumina MiSeq,48,Spaceflight;Sample type;Plant position,leaf;root;wick;substrate;swab,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-414,high,VEG-03F leafy greens
OSD-772,GLDS-675,Evaluating microbial community profiles of Chile peppers grown on the International Space Station,Capsicum annuum,NuMex Espanola Improved,Advanced Plant Habitat (APH),ISS PH-04,16S rRNA amplicon,V4,Illumina MiSeq,96,Spaceflight;Science carrier quadrant;Hardware component;Tissue type,leaf;root;fruit;substrate;swab,10.26030/mjvk-v435,https://osdr.nasa.gov/bio/repo/data/studies/OSD-772,high,Chile pepper APH; Nature Sci Reports 2025 s41598-025-20440-9
OSD-773,GLDS-676,Amplicon characterization of microbial communities from multi-species plant growth on the ISS,mixed community,radish;lettuce;mizuna;wheat,Veggie / XROOTS,ISS,ITS + 16S rRNA amplicon,ITS1;V4,Illumina MiSeq,60,Spaceflight;Cultivar;Tissue type;Harvest timepoint,leaf;root;fruit;substrate;water;swab,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-773,medium,Multi-species amplicon; fungal ITS + bacterial 16S
