osd_accession,tissue_type,environment,phylum,genus,mean_rel
OSD-412,leaf,Ground,Actinomycetota,Curtobacterium,0.06547898396045926
OSD-412,leaf,Ground,Actinomycetota,Cutibacterium,0.03451959127605024
OSD-412,leaf,Ground,Actinomycetota,Streptomyces,0.034399304626559976
OSD-412,leaf,Ground,Bacillota,Bacillus,0.07589757134265573
OSD-412,leaf,Ground,Bacillota,Paenibacillus,0.03044498154552101
OSD-412,leaf,Ground,Bacillota,Staphylococcus,0.02446933487333566
OSD-412,leaf,Ground,Bacteroidota,Chryseobacterium,0.05996105363760172
OSD-412,leaf,Ground,Bacteroidota,Flavobacterium,0.03788472945531193
OSD-412,leaf,Ground,Pseudomonadota,Acinetobacter,0.054005448399797186
OSD-412,leaf,Ground,Pseudomonadota,Burkholderia,0.029759436897480396
OSD-412,leaf,Ground,Pseudomonadota,Enterobacter,0.03895632553312835
OSD-412,leaf,Ground,Pseudomonadota,Massilia,0.04380389185327681
OSD-412,leaf,Ground,Pseudomonadota,Methylobacterium,0.10830392856541211
OSD-412,leaf,Ground,Pseudomonadota,Pantoea,0.07648774528609195
OSD-412,leaf,Ground,Pseudomonadota,Pseudomonas,0.06431843078285107
OSD-412,leaf,Ground,Pseudomonadota,Ralstonia,0.01754315013455958
OSD-412,leaf,Ground,Pseudomonadota,Rhizobium,0.03082616144158213
OSD-412,leaf,Ground,Pseudomonadota,Sphingomonas,0.04785212414171659
OSD-412,leaf,Ground,Pseudomonadota,Stenotrophomonas,0.06458871521855233
OSD-412,leaf,Ground,Pseudomonadota,Variovorax,0.06049909102805595
OSD-412,leaf,Spaceflight,Actinomycetota,Curtobacterium,0.06481885575947906
OSD-412,leaf,Spaceflight,Actinomycetota,Cutibacterium,0.028097899257844967
OSD-412,leaf,Spaceflight,Actinomycetota,Streptomyces,0.0576585839702942
OSD-412,leaf,Spaceflight,Bacillota,Bacillus,0.04541692638482004
OSD-412,leaf,Spaceflight,Bacillota,Paenibacillus,0.02593104691734426
OSD-412,leaf,Spaceflight,Bacillota,Staphylococcus,0.019246319884382794
OSD-412,leaf,Spaceflight,Bacteroidota,Chryseobacterium,0.05448544872951848
OSD-412,leaf,Spaceflight,Bacteroidota,Flavobacterium,0.06179169331941693
OSD-412,leaf,Spaceflight,Pseudomonadota,Acinetobacter,0.07896563382712092
OSD-412,leaf,Spaceflight,Pseudomonadota,Burkholderia,0.02598106696897331
OSD-412,leaf,Spaceflight,Pseudomonadota,Enterobacter,0.06908273151592728
OSD-412,leaf,Spaceflight,Pseudomonadota,Massilia,0.03371480942036482
OSD-412,leaf,Spaceflight,Pseudomonadota,Methylobacterium,0.05243789366349917
OSD-412,leaf,Spaceflight,Pseudomonadota,Pantoea,0.07278030491030738
OSD-412,leaf,Spaceflight,Pseudomonadota,Pseudomonas,0.060559916825128034
OSD-412,leaf,Spaceflight,Pseudomonadota,Ralstonia,0.05871173042986342
